Papel;Cotação;Tipo;Data últ cot;Empresa;Min 52 sem;Setor;Max 52 sem;Subsetor;Vol $ méd (2m);Valor de mercado;Últ balanço processado;Valor da firma;Nro. Ações;P/L;LPA;P/VP;VPA;P/EBIT;Marg. Bruta;PSR;Marg. EBIT;P/Ativos;Marg. Líquida;P/Cap. Giro;EBIT / Ativo;P/Ativ Circ Liq;ROIC;Div. Yield;ROE;EV / EBITDA;Liquidez Corr;EV / EBIT;Div Br/ Patrim;Cres. Rec (5a);Giro Ativos;Ativo;Dív. Bruta;Disponibilidades;Dív. Líquida;Ativo Circulante;Patrim. Líq;Receita Líquida;EBIT;Lucro Líquido
AALR3;20,74;ON NM;21/02/2020;ALLIAR ON NM;13,20;Saúde;23,15;Serviços Médico - Hospitalares, Análises e Diagnósticos;9.447.190;2.453.400.000;30/09/2019;2.998.280.000;118.293.000;48,73;0,43;1,90;10,89;19,39;26,7%;2,29;11,8%;0,99;5,7%;86,19;5,1%;-3,61;5,5%;0,4%;3,9%;12,95;1,07;23,69;0,50;-0,6%;0,43;2.469.870.000;642.308.000;97.428.000;544.880.000;465.364.000;1.287.910.000;276.146.000;34.586.000;14.376.000
ABCB4;21,41;PN N2;21/02/2020;ABC Brasil PN N2;16,60;Financeiros;23,75;Bancos;19.602.400;4.675.070.000;31/12/2019;-;218.359.000;8,85;2,42;1,16;18,51;-;-;-;-;-;0,0%;-;0,0%;-;-;4,9%;13,1%;-;-;-;-;50,1%;-;36.253.300.000;5.693.870.000;13.280.500.000;4.040.730.000;218.790.000;97.987.000;145.599.000
ABEV3;16,25;ON NM;21/02/2020;AMBEV S/A ON NM;16,02;Bebidas;20,18;Cervejas e Refrigerantes;348.545.000;255.671.000.000;30/09/2019;244.730.000.000;15.733.600.000;23,16;0,70;3,89;4,18;15,67;59,5%;4,85;30,9%;2,49;21,7%;35,70;15,9%;-39,64;21,4%;3,0%;16,8%;11,84;1,33;15,00;0,06;4,2%;0,51;102.475.000.000;4.090.160.000;15.031.200.000;-10.941.100.000;29.004.000.000;65.751.800.000;11.957.700.000;3.017.290.000;2.497.680.000
ADHM3;2,40;;21/02/2020;VITALYZE.ME;1,07;Prods. de Uso Pessoal e de Limpeza;3,00;Produtos de Uso Pessoal;611.623;18.151.200;30/09/2019;18.151.200;7.563.000;-2,92;-0,82;-0,92;-2,61;-4,06;100,0%;550,04;-13.548,5%;75,01;-18.860,6%;-1,02;-1.847,5%;-0,91;521,7%;0,0%;31,5%;-4,15;0,00;-4,06;-;43,5%;0,14;242.000;0;0;0;23.000;-19.776.000;33.000;-993.000;-2.492.000
AFLT3;12,19;ON;21/02/2020;AFLUENTE T ON;4,38;Energia Elétrica;32,74;Energia Elétrica;97.596;769.006.000;31/12/2019;718.508.000;63.085.000;30,45;0,40;3,59;3,40;30,81;66,3%;19,91;64,6%;3,41;65,4%;10,80;11,1%;12,01;14,6%;0,9%;11,8%;28,79;18,09;28,79;0,01;7,9%;0,17;225.655.000;1.248.000;51.746.000;-50.498.000;75.356.000;214.346.000;10.571.000;3.817.000;4.164.000
AGRO3;20,08;ON NM;21/02/2020;BRASILAGRO ON NM;14,24;Exploração de Imóveis;20,75;Exploração de Imóveis;3.177.000;1.247.050.000;31/12/2019;1.611.830.000;62.104.300;30,84;0,65;1,32;15,18;10,32;30,9%;2,20;21,3%;0,82;18,0%;4,97;8,0%;-13,41;8,9%;4,2%;4,3%;11,20;2,10;13,34;0,49;12,2%;0,37;1.515.090.000;458.309.000;93.538.000;364.771.000;479.155.000;942.966.000;129.058.000;43.114.000;0
AHEB3;30,01;ON;14/01/2020;PARQUE ANHEMBI ON;29,00;Exploração de Imóveis;56,00;Exploração de Imóveis;1.622;225.735.000;30/06/2019;217.822.000;7.522.000;-4,95;-6,06;13,88;2,16;-4,91;37,4%;2,09;-42,6%;0,91;-42,2%;-9,83;-18,6%;-1,08;-20,3%;0,0%;-280,1%;-6,41;0,49;-4,74;-;-15,8%;0,44;247.070.000;0;7.913.000;-7.913.000;21.818.000;16.266.000;44.920.000;-918.000;-1.154.000
ALPA3;28,60;ON N1;21/02/2020;ALPARGATAS ON N1;14,49;Tecidos, Vestuário e Calçados;33,89;Calçados;613.118;16.818.600.000;31/12/2019;16.531.100.000;588.062.000;61,36;0,47;6,36;4,49;28,41;50,3%;4,53;15,9%;3,72;7,0%;12,42;13,1%;20,44;16,4%;0,2%;10,4%;22,01;2,08;27,93;0,11;-2,5%;0,82;4.522.040.000;278.750.000;566.263.000;-287.513.000;2.610.130.000;2.642.930.000;741.647.000;241.592.000;118.783.000
ALPA4;34,80;PN N1;21/02/2020;ALPARGATAS PN N1;14,94;Tecidos, Vestuário e Calçados;37,91;Calçados;47.571.300;20.464.600.000;31/12/2019;20.177.000.000;588.062.000;74,66;0,47;7,74;4,49;34,57;50,3%;5,51;15,9%;4,53;7,0%;15,12;13,1%;24,88;16,4%;0,2%;10,4%;26,86;2,08;34,09;0,11;-2,5%;0,82;4.522.040.000;278.750.000;566.263.000;-287.513.000;2.610.130.000;2.642.930.000;741.647.000;241.592.000;118.783.000
ALSO3;51,15;ON;21/02/2020;ALIANSCSONAE ON;27,27;Exploração de Imóveis;54,90;Exploração de Imóveis;65.732.900;13.594.300.000;30/09/2019;12.917.700.000;265.773.000;810,24;0,06;2,61;19,59;41,96;75,9%;27,34;65,2%;1,34;29,3%;18,51;3,2%;-4,93;3,4%;0,3%;0,3%;32,54;4,07;39,87;-;9,3%;0,05;10.177.800.000;0;676.545.000;-676.545.000;973.650.000;5.206.140.000;200.479.000;106.643.000;-143.693.000
ALUP11;29,23;UNT N2;21/02/2020;ALUPAR UNT N2;21,58;Energia Elétrica;30,36;Energia Elétrica;16.952.000;8.565.470.000;30/09/2019;12.176.000.000;879.111.000;9,97;2,93;1,69;17,28;4,02;58,7%;2,22;55,3%;0,52;39,9%;3,04;13,0%;-1,89;16,3%;1,5%;17,0%;5,44;2,79;5,71;1,29;20,7%;0,23;16.422.600.000;6.527.570.000;2.916.990.000;3.610.570.000;4.396.860.000;5.064.230.000;1.259.030.000;571.927.000;212.545.000
ALUP3;11,80;ON N2;21/02/2020;ALUPAR ON N2;7,36;Energia Elétrica;12,10;Energia Elétrica;229.495;10.373.500.000;30/09/2019;13.984.100.000;879.111.000;12,07;0,98;2,05;5,76;4,86;58,7%;2,69;55,3%;0,63;39,9%;3,68;13,0%;-2,29;16,3%;1,3%;17,0%;6,24;2,79;6,56;1,29;20,7%;0,23;16.422.600.000;6.527.570.000;2.916.990.000;3.610.570.000;4.396.860.000;5.064.230.000;1.259.030.000;571.927.000;212.545.000
ALUP4;8,79;PN N2;21/02/2020;ALUPAR PN N2;6,87;Energia Elétrica;9,39;Energia Elétrica;105.619;7.727.390.000;30/09/2019;11.338.000.000;879.111.000;8,99;0,98;1,53;5,76;3,62;58,7%;2,00;55,3%;0,47;39,9%;2,74;13,0%;-1,71;16,3%;1,7%;17,0%;5,06;2,79;5,32;1,29;20,7%;0,23;16.422.600.000;6.527.570.000;2.916.990.000;3.610.570.000;4.396.860.000;5.064.230.000;1.259.030.000;571.927.000;212.545.000
AMAR3;15,28;ON NM;21/02/2020;LOJAS MARISA ON NM;5,65;Comércio;15,28;Tecidos, Vestuário e Calçados;34.963.200;3.998.270.000;30/09/2019;5.444.240.000;261.667.000;72,35;0,21;4,76;3,21;17,17;44,5%;1,43;8,3%;1,15;0,5%;8,74;6,7%;-5,55;8,2%;0,0%;6,6%;10,62;1,31;23,38;1,92;-3,7%;0,80;3.489.170.000;1.616.580.000;170.608.000;1.445.970.000;1.929.020.000;840.223.000;697.480.000;51.259.000;-75.987.000
ANIM3;38,54;ON NM;21/02/2020;ANIMA ON NM;17,50;Diversos;38,75;Educacional;31.831.900;4.260.940.000;30/09/2019;5.159.250.000;110.559.000;6.321,88;0,01;6,23;6,18;42,69;40,6%;3,68;8,6%;1,97;0,1%;-42,22;4,6%;-3,85;4,9%;0,0%;0,1%;25,22;0,79;51,69;1,47;7,8%;0,54;2.160.950.000;1.006.200.000;107.899.000;898.304.000;369.730.000;683.761.000;293.650.000;30.265.000;-2.472.000
APER3;29,51;ON;21/02/2020;ALPER S.A. ON;19,43;Previdência e Seguros;31,44;Corretoras de Seguros;1.403.740;338.775.000;30/09/2019;326.621.000;11.480.000;-2,46;-12,00;3,49;8,46;-2,38;100,0%;3,84;-161,3%;2,07;-156,2%;587,13;-86,9%;-9,40;-97,9%;0,0%;-141,9%;-2,40;1,02;-2,30;-;-19,4%;0,54;163.739.000;0;12.154.000;-12.154.000;30.622.000;97.083.000;21.375.000;-1.462.000;-1.095.000
ARZZ3;64,21;ON NM;21/02/2020;AREZZO CO ON NM;45,50;Comércio;68,50;Tecidos, Vestuário e Calçados;37.506.500;5.840.160.000;30/09/2019;5.753.900.000;90.954.000;40,08;1,60;8,22;7,81;33,87;46,3%;3,60;10,6%;4,20;9,0%;12,53;12,4%;21,78;17,8%;2,5%;20,5%;23,44;1,97;33,37;0,27;10,0%;1,17;1.391.640.000;189.092.000;275.344.000;-86.252.000;949.191.000;710.655.000;440.874.000;52.520.000;39.775.000
ATOM3;1,85;ON;21/02/2020;ATOMPAR ON;1,40;Outros;2,40;Outros;438.945;38.663.200;30/09/2019;29.254.200;20.899.000;13,31;0,14;9,05;0,20;15,84;100,0%;5,88;37,1%;3,04;44,2%;3,38;19,2%;12,36;74,2%;0,0%;68,0%;11,98;102,26;11,98;-;76,6%;0,52;12.698.000;0;9.409.000;-9.409.000;11.555.000;4.270.000;1.672.000;-26.000;-181.000
AZEV3;6,94;ON;21/02/2020;AZEVEDO & TRAVASSOS ON;4,00;Construção e Engenharia;57,55;Construção Pesada;165.855;37.476.000;31/03/2019;67.281.000;5.400.000;-0,29;-24,10;-0,17;-40,83;-0,71;-159,7%;1,54;-215,1%;0,68;-533,2%;-0,23;-95,6%;-0,15;-211,2%;0,0%;59,0%;-1,37;0,11;-1,28;-0,14;-47,8%;0,44;54.913.000;29.816.000;11.000;29.805.000;20.339.000;-220.476.000;721.000;-4.530.000;-8.700.000
AZEV4;3,95;PN;21/02/2020;AZEVEDO & TRAVASSOS PN;1,71;Construção e Engenharia;6,74;Construção Pesada;715.028;21.330.000;31/03/2019;51.135.000;5.400.000;-0,16;-24,10;-0,10;-40,83;-0,41;-159,7%;0,87;-215,1%;0,39;-533,2%;-0,13;-95,6%;-0,08;-211,2%;0,0%;59,0%;-1,04;0,11;-0,97;-0,14;-47,8%;0,44;54.913.000;29.816.000;11.000;29.805.000;20.339.000;-220.476.000;721.000;-4.530.000;-8.700.000
AZUL4;55,65;PN;21/02/2020;AZUL PN;31,70;Transporte;62,41;Transporte Aéreo;147.541.000;19.018.200.000;30/09/2019;20.850.300.000;341.746.000;113,52;0,49;-29,50;-1,89;12,66;25,5%;1,78;14,1%;1,02;1,6%;-9,48;8,1%;-1,25;9,5%;0,0%;-26,0%;7,63;0,67;13,88;-5,27;20,3%;0,57;18.608.700.000;3.395.280.000;1.563.140.000;1.832.140.000;4.055.770.000;-644.791.000;3.030.730.000;543.415.000;-453.812.000
B3SA3;52,05;ON;21/02/2020;B3 ON;30,04;Serviços Financeiros Diversos;53,13;Serviços Financeiros Diversos;616.329.000;107.178.000.000;30/09/2019;102.461.000.000;2.059.140.000;41,81;1,25;4,23;12,32;36,17;97,0%;18,42;50,9%;2,62;44,0%;44,72;7,2%;-26,36;9,8%;2,2%;10,1%;25,75;1,26;34,57;0,24;30,4%;0,14;40.950.900.000;5.976.600.000;10.693.500.000;-4.716.920.000;11.509.500.000;25.361.800.000;1.706.590.000;852.098.000;719.830.000
BAHI3;99,00;ON;20/02/2020;BAHEMA ON;73,00;Holdings Diversificadas;122,29;Holdings Diversificadas;86.131;219.717.000;30/09/2019;161.069.000;2.219.360;-32,61;-3,04;4,12;24,02;-23,70;34,5%;4,63;-19,5%;1,19;-15,8%;5,19;-5,0%;-4,03;-8,0%;0,0%;-12,6%;-19,69;2,34;-17,38;0,18;34,5%;0,26;185.035.000;9.680.000;68.328.000;-58.648.000;73.812.000;53.301.000;14.339.000;-1.292.000;443.000
BALM3;11,50;ON;20/12/2019;BAUMER ON;10,86;Máquinas e Equipamentos;12,00;Máqs. e Equips. Hospitalares;0;112.700.000;30/09/2019;128.761.000;9.800.000;46,06;0,25;1,10;10,43;10,77;52,0%;0,75;7,0%;0,58;1,3%;1,90;5,4%;3,29;6,0%;1,2%;2,4%;9,87;2,02;12,30;0,29;5,6%;0,77;194.149.000;29.808.000;13.747.000;16.061.000;117.380.000;102.201.000;39.496.000;2.744.000;1.877.000
BALM4;14,50;PN;21/02/2020;BAUMER PN;9,70;Máquinas e Equipamentos;16,50;Máqs. e Equips. Hospitalares;62.639;142.100.000;30/09/2019;158.161.000;9.800.000;58,07;0,25;1,39;10,43;13,57;52,0%;0,95;7,0%;0,73;1,3%;2,39;5,4%;4,15;6,0%;1,0%;2,4%;12,12;2,02;15,11;0,29;5,6%;0,77;194.149.000;29.808.000;13.747.000;16.061.000;117.380.000;102.201.000;39.496.000;2.744.000;1.877.000
BAUH4;101,62;PN;20/02/2020;EXCELSIOR PN;21,90;Alimentos;103,00;Carnes e Derivados;68.737;530.660.000;31/12/2019;495.299.000;5.222.000;19,76;5,14;7,40;13,74;33,32;25,3%;2,95;8,8%;4,38;14,9%;25,22;13,2%;30,35;26,6%;0,5%;37,4%;24,25;1,46;31,10;0,00;12,5%;1,49;121.104.000;16.000;35.377.000;-35.361.000;66.841.000;71.747.000;48.604.000;3.650.000;3.401.000
BAZA3;38,35;ON;21/02/2020;BANCO DA AMAZONIA S.A. ON;24,29;Financeiros;43,50;Bancos;88.373;1.136.920.000;30/09/2019;-;29.646.000;6,19;6,19;0,56;68,88;-;-;-;-;-;0,0%;-;0,0%;-;-;3,7%;9,0%;-;-;-;-;-12,4%;-;20.601.800.000;4.509.350.000;2.978.640.000;2.041.970.000;140.279.000;183.563.000;1.797.000
