setor,sub_setor,empresa,ativo,segmento_corporativo,segmento_setorial
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",COSAN,CSAN,NM,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",DOMMO,DMMO,,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ENAUTA PART,ENAT,NM,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PET MANGUINH,RPMG,,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS,PETR,N2,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETROBRAS BR,BRDT,NM,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",PETRORIO,PRIO,NM,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",ULTRAPAR,UGPA,NM,"Exploração, Refino e Distribuição"
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",LUPATECH,LUPA,NM,Equipamentos e Serviços
"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",OSX BRASIL,OSXB,NM,Equipamentos e Serviços
Materiais Básicos,Mineração,BRADESPAR,BRAP,N1,Minerais Metálicos
Materiais Básicos,Mineração,LITEL,LTEL,MB,Minerais Metálicos
Materiais Básicos,Mineração,LITELA,LTLA,MB,Minerais Metálicos
Materiais Básicos,Mineração,MMX MINER,MMXM,NM,Minerais Metálicos
Materiais Básicos,Mineração,VALE,VALE,NM,Minerais Metálicos
Materiais Básicos,Siderurgia e Metalurgia,FERBASA,FESA,N1,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,GERDAU,GGBR,N1,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,GERDAU MET,GOAU,N1,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,SID NACIONAL,CSNA,,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,USIMINAS,USIM,N1,Siderurgia
Materiais Básicos,Siderurgia e Metalurgia,MANGELS INDL,MGEL,,Artefatos de Ferro e Aço
Materiais Básicos,Siderurgia e Metalurgia,PANATLANTICA,PATI,,Artefatos de Ferro e Aço
Materiais Básicos,Siderurgia e Metalurgia,TEKNO,TKNO,,Artefatos de Ferro e Aço
Materiais Básicos,Siderurgia e Metalurgia,PARANAPANEMA,PMAM,NM,Artefatos de Cobre
Materiais Básicos,Químicos,BRASKEM,BRKM,N1,Petroquímicos
Materiais Básicos,Químicos,ELEKEIROZ,ELEK,,Petroquímicos
Materiais Básicos,Químicos,GPC PART,GPCP,,Petroquímicos
Materiais Básicos,Químicos,FER HERINGER,FHER,NM,Fertilizantes e Defensivos
Materiais Básicos,Químicos,NUTRIPLANT,NUTR,MA,Fertilizantes e Defensivos
Materiais Básicos,Químicos,CRISTAL,CRPG,,Químicos Diversos
Materiais Básicos,Químicos,UNIPAR,UNIP,,Químicos Diversos
Materiais Básicos,Madeira e Papel,DURATEX,DTEX,NM,Madeira
Materiais Básicos,Madeira e Papel,EUCATEX,EUCA,N1,Madeira
Materiais Básicos,Madeira e Papel,CELUL IRANI,RANI,,Papel e Celulose
Materiais Básicos,Madeira e Papel,KLABIN S/A,KLBN,N2,Papel e Celulose
Materiais Básicos,Madeira e Papel,MELHOR SP,MSPA,,Papel e Celulose
Materiais Básicos,Madeira e Papel,SANTHER,STTZ,,Papel e Celulose
Materiais Básicos,Madeira e Papel,SUZANO HOLD,NEMO,,Papel e Celulose
Materiais Básicos,Madeira e Papel,SUZANO S.A.,SUZB,NM,Papel e Celulose
Materiais Básicos,Embalagens,METAL IGUACU,MTIG,,Embalagens
Materiais Básicos,Materiais Diversos,SANSUY,SNSY,,Materiais Diversos
Bens Industriais,Construção e Engenharia,ETERNIT,ETER,NM,Produtos para Construção
Bens Industriais,Construção e Engenharia,HAGA S/A,HAGA,,Produtos para Construção
Bens Industriais,Construção e Engenharia,PORTOBELLO,PTBL,NM,Produtos para Construção
